Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = -20.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.u2                            3.10015e-09
xalu.xunary2.x2.n                  1.55008e-09
xalu.xshift2.sn                           1.98
xalu.xshift2.n0                           1.98
xalu.xshift2.x0.n                            0
xalu.xshift2.n1                           1.98
a3                                           0
xalu.xshift2.x1.n                            0
xalu.h2                            3.10015e-09
xalu.xshift2.x2.n                  1.55008e-09
xalu.xlo2.sn                              1.98
xalu.xlo2.n0                              1.98
xalu.xlo2.x0.n                               0
xalu.xlo2.n1                              1.98
xalu.xlo2.x1.n                               0
xalu.lo2                           3.10015e-09
xalu.xlo2.x2.n                     1.55008e-09
xalu.xhi2.sn                              1.98
xalu.xhi2.n0                              1.98
xalu.xhi2.x0.n                               0
xalu.xhi2.n1                              1.98
xalu.xhi2.x1.n                               0
xalu.hi2                           3.10015e-09
xalu.xhi2.x2.n                     1.55008e-09
xalu.xout2.sn                             1.98
xalu.xout2.n0                             1.98
xalu.xout2.x0.n                              0
xalu.xout2.n1                             1.98
xalu.xout2.x1.n                              0
y2                                 3.10015e-09
xalu.xout2.x2.n                    1.55008e-09
xalu.xbsub3.n0                            1.98
b3                                           0
xalu.xbsub3.x0.n                             0
xalu.xbsub3.n1                            1.98
xalu.xbsub3.x1.n                             0
xalu.xbsub3.n2                            1.98
xalu.xbsub3.x2.n                             0
xalu.bs3                           3.10015e-09
xalu.xbsub3.x3.n                   1.55008e-09
xalu.xfa3.x0.n0                           1.98
xalu.xfa3.x0.x0.n                            0
xalu.xfa3.x0.n1                           1.98
xalu.xfa3.x0.x1.n                            0
xalu.xfa3.x0.n2                           1.98
xalu.xfa3.x0.x2.n                            0
xalu.xfa3.p                        3.10015e-09
xalu.xfa3.x0.x3.n                  1.55008e-09
xalu.xfa3.x1.n0                           1.98
xalu.xfa3.x1.x0.n                            0
xalu.xfa3.x1.n1                           1.98
xalu.xfa3.x1.x1.n                            0
xalu.xfa3.x1.n2                           1.98
xalu.xfa3.x1.x2.n                            0
xalu.s3                            3.10015e-09
xalu.xfa3.x1.x3.n                  1.55008e-09
xalu.xfa3.x2.n                            1.98
xalu.xfa3.x2.xn.n                            0
xalu.xfa3.g                        1.55008e-09
xalu.xfa3.x3.n                            1.98
xalu.xfa3.x3.xn.n                            0
xalu.xfa3.h                        1.55008e-09
xalu.xfa3.x4.xn.n                         1.98
xalu.xfa3.x4.n                            1.98
xalu.c4                            1.55008e-09
xalu.xand3.n                              1.98
xalu.xand3.xn.n                              0
xalu.and3                          1.55008e-09
xalu.xor3.xn.n                            1.98
xalu.xor3.n                               1.98
xalu.or3                           1.55008e-09
xalu.xxor3.n0                             1.98
xalu.xxor3.x0.n                              0
xalu.xxor3.n1                             1.98
xalu.xxor3.x1.n                              0
xalu.xxor3.n2                             1.98
xalu.xxor3.x2.n                              0
xalu.xor3                          3.10015e-09
xalu.xxor3.x3.n                    1.55008e-09
xalu.not3                                 1.98
xalu.xlogic3.sn                           1.98
xalu.xlogic3.n0                           1.98
xalu.xlogic3.x0.n                            0
xalu.xlogic3.n1                           1.98
xalu.xlogic3.x1.n                            0
xalu.l3                            3.10015e-09
xalu.xlogic3.x2.n                  1.55008e-09
xalu.xunary3.sn                           1.98
xalu.xunary3.n0                           1.98
xalu.xunary3.x0.n                            0
xalu.xunary3.n1                           1.98
xalu.xunary3.x1.n                      1.48404
xalu.u3                            3.10015e-09
xalu.xunary3.x2.n                  1.55008e-09
xalu.xshift3.sn                           1.98
xalu.xshift3.n0                           1.98
xalu.xshift3.x0.n                            0
xalu.xshift3.n1                           1.98
a4                                           0
xalu.xshift3.x1.n                            0
xalu.h3                            3.10015e-09
xalu.xshift3.x2.n                  1.55008e-09
xalu.xlo3.sn                              1.98
xalu.xlo3.n0                              1.98
xalu.xlo3.x0.n                               0
xalu.xlo3.n1                              1.98
xalu.xlo3.x1.n                               0
xalu.lo3                           3.10015e-09
xalu.xlo3.x2.n                     1.55008e-09
xalu.xhi3.sn                              1.98
xalu.xhi3.n0                              1.98
xalu.xhi3.x0.n                               0
xalu.xhi3.n1                              1.98
xalu.xhi3.x1.n                               0
xalu.hi3                           3.10015e-09
xalu.xhi3.x2.n                     1.55008e-09
xalu.xout3.sn                             1.98
xalu.xout3.n0                             1.98
xalu.xout3.x0.n                              0
xalu.xout3.n1                             1.98
xalu.xout3.x1.n                              0
y3                                 3.10015e-09
xalu.xout3.x2.n                    1.55008e-09
xalu.xbsub4.n0                            1.98
b4                                           0
xalu.xbsub4.x0.n                             0
xalu.xbsub4.n1                            1.98
xalu.xbsub4.x1.n                             0
xalu.xbsub4.n2                            1.98
xalu.xbsub4.x2.n                             0
xalu.bs4                           3.10015e-09
xalu.xbsub4.x3.n                   1.55008e-09
xalu.xfa4.x0.n0                           1.98
xalu.xfa4.x0.x0.n                            0
xalu.xfa4.x0.n1                           1.98
xalu.xfa4.x0.x1.n                            0
xalu.xfa4.x0.n2                           1.98
xalu.xfa4.x0.x2.n                            0
xalu.xfa4.p                        3.10015e-09
xalu.xfa4.x0.x3.n                  1.55008e-09
xalu.xfa4.x1.n0                           1.98
xalu.xfa4.x1.x0.n                            0
xalu.xfa4.x1.n1                           1.98
xalu.xfa4.x1.x1.n                            0
xalu.xfa4.x1.n2                           1.98
xalu.xfa4.x1.x2.n                            0
xalu.s4                            3.10015e-09
xalu.xfa4.x1.x3.n                  1.55008e-09
xalu.xfa4.x2.n                            1.98
xalu.xfa4.x2.xn.n                            0
xalu.xfa4.g                        1.55008e-09
xalu.xfa4.x3.n                            1.98
xalu.xfa4.x3.xn.n                            0
xalu.xfa4.h                        1.55008e-09
xalu.xfa4.x4.xn.n                         1.98
xalu.xfa4.x4.n                            1.98
xalu.c5                            1.55008e-09
xalu.xand4.n                              1.98
xalu.xand4.xn.n                              0
xalu.and4                          1.55008e-09
xalu.xor4.xn.n                            1.98
xalu.xor4.n                               1.98
xalu.or4                           1.55008e-09
xalu.xxor4.n0                             1.98
xalu.xxor4.x0.n                              0
xalu.xxor4.n1                             1.98
xalu.xxor4.x1.n                              0
xalu.xxor4.n2                             1.98
xalu.xxor4.x2.n                              0
xalu.xor4                          3.10015e-09
xalu.xxor4.x3.n                    1.55008e-09
xalu.not4                                 1.98
xalu.xlogic4.sn                           1.98
xalu.xlogic4.n0                           1.98
xalu.xlogic4.x0.n                            0
xalu.xlogic4.n1                           1.98
xalu.xlogic4.x1.n                            0
xalu.l4                            3.10015e-09
xalu.xlogic4.x2.n                  1.55008e-09
xalu.xunary4.sn                           1.98
xalu.xunary4.n0                           1.98
xalu.xunary4.x0.n                            0
xalu.xunary4.n1                           1.98
xalu.xunary4.x1.n                      1.48404
xalu.u4                            3.10015e-09
xalu.xunary4.x2.n                  1.55008e-09
xalu.xshift4.sn                           1.98
xalu.xshift4.n0                           1.98
xalu.xshift4.x0.n                            0
xalu.xshift4.n1                           1.98
a5                                           0
xalu.xshift4.x1.n                            0
xalu.h4                            3.10015e-09
xalu.xshift4.x2.n                  1.55008e-09
xalu.xlo4.sn                              1.98
xalu.xlo4.n0                              1.98
xalu.xlo4.x0.n                               0
xalu.xlo4.n1                              1.98
xalu.xlo4.x1.n                               0
xalu.lo4                           3.10015e-09
xalu.xlo4.x2.n                     1.55008e-09
xalu.xhi4.sn                              1.98
xalu.xhi4.n0                              1.98
xalu.xhi4.x0.n                               0
xalu.xhi4.n1                              1.98
xalu.xhi4.x1.n                               0
xalu.hi4                           3.10015e-09
xalu.xhi4.x2.n                     1.55008e-09
xalu.xout4.sn                             1.98
xalu.xout4.n0                             1.98
xalu.xout4.x0.n                              0
xalu.xout4.n1                             1.98
xalu.xout4.x1.n                              0
y4                                 3.10015e-09
xalu.xout4.x2.n                    1.55008e-09
xalu.xbsub5.n0                            1.98
b5                                           0
xalu.xbsub5.x0.n                             0
