Note: Starting dynamic gmin stepping
Note: Dynamic gmin stepping completed

Note: No compatibility mode selected!


Circuit: alu reference characterization

Doing analysis at TEMP = 25.000000 and TNOM = 27.000000

Using SPARSE 1.3 as Direct Linear Solver

Initial Transient Solution
--------------------------

Node                                   Voltage
xalu.xlo0.x0.n                     1.99102e-09
xalu.xlo0.n1                               1.8
xalu.xlo0.x1.n                               0
xalu.lo0                                   1.8
xalu.xlo0.x2.n                               0
xalu.xhi0.sn                               1.8
xalu.xhi0.n0                       3.98205e-09
xalu.xhi0.x0.n                     1.99102e-09
xalu.xhi0.n1                               1.8
xalu.xhi0.x1.n                               0
xalu.hi0                                   1.8
xalu.xhi0.x2.n                               0
xalu.xout0.sn                              1.8
op2                                          0
xalu.xout0.n0                      3.98205e-09
xalu.xout0.x0.n                    1.99102e-09
xalu.xout0.n1                              1.8
xalu.xout0.x1.n                        1.34796
y0                                         1.8
xalu.xout0.x2.n                              0
xalu.xbsub1.n0                             1.8
b1                                           0
xalu.xbsub1.x0.n                             0
xalu.xbsub1.n1                             1.8
xalu.xbsub1.x1.n                             0
xalu.xbsub1.n2                             1.8
xalu.xbsub1.x2.n                             0
xalu.bs1                           3.98205e-09
xalu.xbsub1.x3.n                   1.99102e-09
xalu.xfa1.x0.n0                            1.8
xalu.xfa1.x0.x0.n                      1.34796
xalu.xfa1.x0.n1                    3.98205e-09
xalu.xfa1.x0.x1.n                  1.99102e-09
xalu.xfa1.x0.n2                            1.8
xalu.xfa1.x0.x2.n                            0
xalu.xfa1.p                                1.8
xalu.xfa1.x0.x3.n                            0
xalu.xfa1.x1.n0                            1.8
xalu.xfa1.x1.x0.n                      1.34796
xalu.xfa1.x1.n1                    3.98205e-09
xalu.xfa1.x1.x1.n                  1.99102e-09
xalu.xfa1.x1.n2                            1.8
xalu.xfa1.x1.x2.n                            0
xalu.s1                                    1.8
xalu.xfa1.x1.x3.n                            0
xalu.xfa1.x2.n                             1.8
xalu.xfa1.x2.xn.n                      1.34796
xalu.xfa1.g                        1.99102e-09
xalu.xfa1.x3.n                             1.8
xalu.xfa1.x3.xn.n                      1.34796
xalu.xfa1.h                        1.99102e-09
xalu.xfa1.x4.xn.n                          1.8
xalu.xfa1.x4.n                             1.8
xalu.c2                            1.99102e-09
xalu.xand1.n                               1.8
xalu.xand1.xn.n                        1.34796
xalu.and1                          1.99102e-09
xalu.xor1.xn.n                         0.45257
xalu.xor1.n                        4.97593e-09
xalu.or1                                   1.8
xalu.xxor1.n0                              1.8
xalu.xxor1.x0.n                        1.34796
xalu.xxor1.n1                      3.98205e-09
xalu.xxor1.x1.n                    1.99102e-09
xalu.xxor1.n2                              1.8
xalu.xxor1.x2.n                              0
xalu.xor1                                  1.8
xalu.xxor1.x3.n                              0
xalu.not1                          1.99102e-09
xalu.xlogic1.sn                            1.8
xalu.xlogic1.n0                            1.8
xalu.xlogic1.x0.n                            0
xalu.xlogic1.n1                            1.8
xalu.xlogic1.x1.n                      1.34796
